Hour,Date/hour start,Solar electricity generation (kWh),Electricity usage-kWh,Electricity usage z-score,Solar electricity generation z-score,bought electricity,excess solar
0,2020-01-01 00:00:00,0.0,1.509849,1.509849,0.0,1.509849,
1,2020-01-01 01:00:00,0.0,1.4118588,1.4118588,0.0,1.4118588,
2,2020-01-01 02:00:00,0.0,1.0238976,1.0238976,0.0,1.0238976,
3,2020-01-01 03:00:00,0.0,0.642,0.642,0.0,0.642,
4,2020-01-01 04:00:00,0.0,0.96,0.96,0.0,0.96,
5,2020-01-01 05:00:00,0.012,0.897,0.897,0.012,0.885,
6,2020-01-01 06:00:00,0.006,0.648,0.648,0.006,0.642,
7,2020-01-01 07:00:00,0.009,0.774,0.774,0.009,0.765,
8,2020-01-01 08:00:00,0.012,1.299,1.299,0.012,1.287,
9,2020-01-01 09:00:00,0.846,0.606,0.606,0.846,,0.24
10,2020-01-01 10:00:00,0.0,0.0,0.0,0.0,0.0,0.0
11,2020-01-01 11:00:00,0.0,0.0,0.0,0.0,0.0,0.0
12,2020-01-01 12:00:00,0.651,0.396,0.396,0.651,,0.255
13,2020-01-01 13:00:00,0.363,0.615,0.615,0.363,0.252,
14,2020-01-01 14:00:00,0.303,1.419,1.419,0.303,1.116,
15,2020-01-01 15:00:00,0.159,1.437,1.437,0.159,1.278,
16,2020-01-01 16:00:00,0.081,3.105,3.105,0.081,3.024,
17,2020-01-01 17:00:00,0.006,-12.624,,0.006,,12.63
18,2020-01-01 18:00:00,0.0,8.9298,8.9298,0.0,8.9298,
19,2020-01-01 19:00:00,0.021,2.2176,2.2176,0.021,2.1966,
20,2020-01-01 20:00:00,0.003,4.4286,4.4286,0.003,4.4256,
21,2020-01-01 21:00:00,0.003,6.789,6.789,0.003,6.786,
22,2020-01-01 22:00:00,0.006,1.806,1.806,0.006,1.8,
23,2020-01-01 23:00:00,0.0,0.9359064,0.9359064,0.0,0.9359064,
0,2020-01-02 00:00:00,0.0,0.7339266,0.7339266,0.0,0.7339266,
1,2020-01-02 01:00:00,0.0,0.3079692,0.3079692,0.0,0.3079692,
2,2020-01-02 02:00:00,0.0,0.1979802,0.1979802,0.0,0.1979802,
3,2020-01-02 03:00:00,0.0,0.267,0.267,0.0,0.267,
4,2020-01-02 04:00:00,0.0,0.162,0.162,0.0,0.162,
5,2020-01-02 05:00:00,0.012,0.216,0.216,0.012,0.204,
6,2020-01-02 06:00:00,0.015,0.213,0.213,0.015,0.198,
7,2020-01-02 07:00:00,0.0,0.804,0.804,0.0,0.804,
8,2020-01-02 08:00:00,0.027,1.179,1.179,0.027,1.1520000000000001,
9,2020-01-02 09:00:00,0.276,2.601,2.601,0.276,2.325,
10,2020-01-02 10:00:00,0.243,1.38,1.38,0.243,1.137,
11,2020-01-02 11:00:00,0.498,1.536,1.536,0.498,1.038,
12,2020-01-02 12:00:00,0.399,1.596,1.596,0.399,1.197,
13,2020-01-02 13:00:00,0.504,22.5,,0.504,21.996,
14,2020-01-02 14:00:00,0.159,1.596,1.596,0.159,1.437,
