Hour,Date/hour start,Electricity usage,Solar electricity generation ,electricity bought ,excess solar
0,1/1/2020 0:00,1.509849,0,1.509849,
1,1/1/2020 1:00,1.4118588,0,1.4118588,
2,1/1/2020 2:00,1.0238976,0,1.0238976,
3,1/1/2020 3:00,0.642,0,0.642,
4,1/1/2020 4:00,0.96,0,0.96,
5,1/1/2020 5:00,0.897,0.012,0.885,
6,1/1/2020 6:00,0.648,0.006,0.642,
7,1/1/2020 7:00,0.774,0.009,0.765,
8,1/1/2020 8:00,1.299,0.012,1.287,
9,1/1/2020 9:00,0.606,0.846,,0.24
10,1/1/2020 10:00,0,0,0,0
11,1/1/2020 11:00,0,0,0,0
12,1/1/2020 12:00,0.396,0.651,,0.255
13,1/1/2020 13:00,0.615,0.363,0.252,
14,1/1/2020 14:00,1.419,0.303,1.116,
15,1/1/2020 15:00,1.437,0.159,1.278,
16,1/1/2020 16:00,3.105,0.081,3.024,
17,1/1/2020 17:00,,0.006,,12.63
18,1/1/2020 18:00,8.9298,0,8.9298,
19,1/1/2020 19:00,2.2176,0.021,2.1966,
20,1/1/2020 20:00,4.4286,0.003,4.4256,
21,1/1/2020 21:00,6.789,0.003,6.786,
22,1/1/2020 22:00,1.806,0.006,1.8,
23,1/1/2020 23:00,0.9359064,0,0.9359064,
0,1/2/2020 0:00,0.7339266,0,0.7339266,
1,1/2/2020 1:00,0.3079692,0,0.3079692,
2,1/2/2020 2:00,0.1979802,0,0.1979802,
3,1/2/2020 3:00,0.267,0,0.267,
4,1/2/2020 4:00,0.162,0,0.162,
5,1/2/2020 5:00,0.216,0.012,0.204,
6,1/2/2020 6:00,0.213,0.015,0.198,
7,1/2/2020 7:00,0.804,0,0.804,
8,1/2/2020 8:00,1.179,0.027,1.152,
9,1/2/2020 9:00,2.601,0.276,2.325,
10,1/2/2020 10:00,1.38,0.243,1.137,
11,1/2/2020 11:00,1.536,0.498,1.038,
12,1/2/2020 12:00,1.596,0.399,1.197,
13,1/2/2020 13:00,,0.504,21.996,
14,1/2/2020 14:00,1.596,0.159,1.437,
15,1/2/2020 15:00,0.564,0.057,0.507,
16,1/2/2020 16:00,5.562,0,5.562,
17,1/2/2020 17:00,1.389,0.015,1.374,
18,1/2/2020 18:00,13.233,0,13.233,
19,1/2/2020 19:00,7.8672,0.018,7.8492,
20,1/2/2020 20:00,2.6334,0.012,2.6214,
21,1/2/2020 21:00,1.362,0.006,1.356,
22,1/2/2020 22:00,1.575,0.018,1.557,
23,1/2/2020 23:00,1.2018798,0,1.2018798,
0,1/3/2020 0:00,1.689,0,1.689,
1,1/3/2020 1:00,0.8679132,0,0.8679132,
2,1/3/2020 2:00,0.4179582,0,0.4179582,
3,1/3/2020 3:00,0.288,0,0.288,
4,1/3/2020 4:00,0.186,0,0.186,
5,1/3/2020 5:00,0.474,0.009,0.465,
6,1/3/2020 6:00,0.459,0.012,0.447,
7,1/3/2020 7:00,0.591,0.027,0.564,
8,1/3/2020 8:00,10.053,0.003,10.05,
9,1/3/2020 9:00,8.202,0.357,7.845,
10,1/3/2020 10:00,0.897,1.086,,0.189
11,1/3/2020 11:00,0.726,0.993,,0.267
12,1/3/2020 12:00,0.36,2.031,,1.671
13,1/3/2020 13:00,0.048,3.336,,3.288
14,1/3/2020 14:00,0.225,1.044,,0.819
15,1/3/2020 15:00,2.349,0.342,2.007,
16,1/3/2020 16:00,2.439,0.033,2.406,
17,1/3/2020 17:00,2.169,0.009,2.16,
18,1/3/2020 18:00,4.8114,0,4.8114,
19,1/3/2020 19:00,15.51,0.015,15.495,
20,1/3/2020 20:00,5.9796,0,5.9796,
21,1/3/2020 21:00,3.081,0.018,3.063,
22,1/3/2020 22:00,2.484,0.006,2.478,
23,1/3/2020 23:00,2.7825,0,2.7825,
0,1/4/2020 0:00,1.7538246,0,1.7538246,
