Hour,Date/hour start,Solar electricity generation (kWh),Electricity usage-kWh
0,1/1/2020 0:00,0,1.509849
1,1/1/2020 1:00,0,1.4118588
2,1/1/2020 2:00,0,1.0238976
3,1/1/2020 3:00,0,0.642
4,1/1/2020 4:00,0,0.96
5,1/1/2020 5:00,0.012,0.897
6,1/1/2020 6:00,0.006,0.648
7,1/1/2020 7:00,0.009,0.774
8,1/1/2020 8:00,0.012,1.299
9,1/1/2020 9:00,0.846,0.606
10,1/1/2020 10:00,0,0
11,1/1/2020 11:00,0,0
12,1/1/2020 12:00,0.651,0.396
13,1/1/2020 13:00,0.363,0.615
14,1/1/2020 14:00,0.303,1.419
15,1/1/2020 15:00,0.159,1.437
16,1/1/2020 16:00,0.081,3.105
17,1/1/2020 17:00,0.006,-12.624
18,1/1/2020 18:00,0,8.9298
19,1/1/2020 19:00,0.021,2.2176
20,1/1/2020 20:00,0.003,4.4286
21,1/1/2020 21:00,0.003,6.789
22,1/1/2020 22:00,0.006,1.806
23,1/1/2020 23:00,0,0.9359064
0,1/2/2020 0:00,0,0.7339266
1,1/2/2020 1:00,0,0.3079692
2,1/2/2020 2:00,0,0.1979802
3,1/2/2020 3:00,0,0.267
4,1/2/2020 4:00,0,0.162
5,1/2/2020 5:00,0.012,0.216
6,1/2/2020 6:00,0.015,0.213
7,1/2/2020 7:00,0,0.804
8,1/2/2020 8:00,0.027,1.179
9,1/2/2020 9:00,0.276,2.601
10,1/2/2020 10:00,0.243,1.38
11,1/2/2020 11:00,0.498,1.536
12,1/2/2020 12:00,0.399,1.596
13,1/2/2020 13:00,0.504,22.5
14,1/2/2020 14:00,0.159,1.596
15,1/2/2020 15:00,0.057,0.564
16,1/2/2020 16:00,0,5.562
17,1/2/2020 17:00,0.015,1.389
18,1/2/2020 18:00,0,13.233
19,1/2/2020 19:00,0.018,7.8672
20,1/2/2020 20:00,0.012,2.6334
21,1/2/2020 21:00,0.006,1.362
22,1/2/2020 22:00,0.018,1.575
23,1/2/2020 23:00,0,1.2018798
0,1/3/2020 0:00,0,1.689
1,1/3/2020 1:00,0,0.8679132
2,1/3/2020 2:00,0,0.4179582
3,1/3/2020 3:00,0,0.288
4,1/3/2020 4:00,0,0.186
5,1/3/2020 5:00,0.009,0.474
6,1/3/2020 6:00,0.012,0.459
7,1/3/2020 7:00,0.027,0.591
8,1/3/2020 8:00,0.003,10.053
9,1/3/2020 9:00,0.357,8.202
10,1/3/2020 10:00,1.086,0.897
11,1/3/2020 11:00,0.993,0.726
12,1/3/2020 12:00,2.031,0.36
13,1/3/2020 13:00,3.336,0.048
14,1/3/2020 14:00,1.044,0.225
15,1/3/2020 15:00,0.342,2.349
16,1/3/2020 16:00,0.033,2.439
17,1/3/2020 17:00,0.009,2.169
18,1/3/2020 18:00,0,4.8114
19,1/3/2020 19:00,0.015,15.51
20,1/3/2020 20:00,0,5.9796
21,1/3/2020 21:00,0.018,3.081
22,1/3/2020 22:00,0.006,2.484
23,1/3/2020 23:00,0,2.7825
0,1/4/2020 0:00,0,1.7538246
1,1/4/2020 1:00,0,0.889911
2,1/4/2020 2:00,0,0.2919708
3,1/4/2020 3:00,0,0.189
4,1/4/2020 4:00,0,0.195
5,1/4/2020 5:00,0.009,0.477
6,1/4/2020 6:00,0.009,0.228
7,1/4/2020 7:00,0.012,5.256
8,1/4/2020 8:00,0.003,2.481
9,1/4/2020 9:00,0.201,0.57
10,1/4/2020 10:00,0.201,0.747
11,1/4/2020 11:00,0.186,0.219
12,1/4/2020 12:00,1.122,0.462
